dividend_cocode|company_name|div_announcement_date|div_per_share
86607|AMBUJA CEMENTS LTD.|06-02-2014|2.2000
86607|AMBUJA CEMENTS LTD.|24-07-2014|1.8000
86607|AMBUJA CEMENTS LTD.|18-02-2015|3.2000
86607|AMBUJA CEMENTS LTD.|27-07-2015|1.6000
86607|AMBUJA CEMENTS LTD.|10-02-2016|1.2000
86607|AMBUJA CEMENTS LTD.|26-07-2016|1.6000
86607|AMBUJA CEMENTS LTD.|20-02-2017|1.2000
86607|AMBUJA CEMENTS LTD.|24-07-2017|1.6000
86607|AMBUJA CEMENTS LTD.|20-02-2018|2.0000
86607|AMBUJA CEMENTS LTD.|18-02-2019|1.5000
22104|ASHOK LEYLAND LTD.|11-06-2004|0.7500
22104|ASHOK LEYLAND LTD.|28-04-2005|1.0000
22104|ASHOK LEYLAND LTD.|29-04-2006|1.2000
22104|ASHOK LEYLAND LTD.|21-03-2007|1.5000
22104|ASHOK LEYLAND LTD.|04-05-2007|0.0000
22104|ASHOK LEYLAND LTD.|08-05-2008|1.5000
22104|ASHOK LEYLAND LTD.|15-05-2009|1.0000
22104|ASHOK LEYLAND LTD.|29-04-2010|1.5000
22104|ASHOK LEYLAND LTD.|19-05-2011|2.0000
22104|ASHOK LEYLAND LTD.|14-05-2012|1.0000
22104|ASHOK LEYLAND LTD.|10-05-2013|0.6000
22104|ASHOK LEYLAND LTD.|12-05-2015|0.4500
22104|ASHOK LEYLAND LTD.|25-05-2016|0.9500
22104|ASHOK LEYLAND LTD.|25-05-2017|1.5600
22104|ASHOK LEYLAND LTD.|18-05-2018|2.4300
22104|ASHOK LEYLAND LTD.|24-05-2019|3.1000
22859|ASIAN PAINTS LTD.|11-05-2004|5.0000
22859|ASIAN PAINTS LTD.|27-10-2004|4.0000
22859|ASIAN PAINTS LTD.|11-05-2005|5.5000
22859|ASIAN PAINTS LTD.|26-10-2005|4.5000
22859|ASIAN PAINTS LTD.|09-05-2006|5.5000
22859|ASIAN PAINTS LTD.|10-05-2006|2.5000
22859|ASIAN PAINTS LTD.|30-10-2006|5.5000
22859|ASIAN PAINTS LTD.|13-03-2007|6.5000
22859|ASIAN PAINTS LTD.|10-05-2007|1.0000
22859|ASIAN PAINTS LTD.|19-10-2007|6.5000
22859|ASIAN PAINTS LTD.|09-05-2008|10.5000
22859|ASIAN PAINTS LTD.|24-10-2008|6.5000
22859|ASIAN PAINTS LTD.|12-05-2009|11.0000
22859|ASIAN PAINTS LTD.|22-10-2009|8.5000
22859|ASIAN PAINTS LTD.|28-05-2010|18.5000
22859|ASIAN PAINTS LTD.|27-10-2010|8.5000
22859|ASIAN PAINTS LTD.|10-05-2011|23.5000
22859|ASIAN PAINTS LTD.|21-10-2011|9.5000
22859|ASIAN PAINTS LTD.|08-05-2012|30.5000
22859|ASIAN PAINTS LTD.|25-10-2012|9.5000
22859|ASIAN PAINTS LTD.|09-05-2013|36.5000
22859|ASIAN PAINTS LTD.|21-10-2013|1.1000
22859|ASIAN PAINTS LTD.|14-05-2014|4.2000
22859|ASIAN PAINTS LTD.|17-09-2014|1.8000
22859|ASIAN PAINTS LTD.|18-05-2015|4.3000
22859|ASIAN PAINTS LTD.|23-10-2015|2.2000
22859|ASIAN PAINTS LTD.|11-05-2016|5.3000
22859|ASIAN PAINTS LTD.|25-10-2016|2.6500
22859|ASIAN PAINTS LTD.|11-05-2017|2.0000
22859|ASIAN PAINTS LTD.|12-05-2017|5.6500
22859|ASIAN PAINTS LTD.|24-10-2017|2.6500
22859|ASIAN PAINTS LTD.|10-05-2018|6.0500
22859|ASIAN PAINTS LTD.|22-10-2018|2.8500
22859|ASIAN PAINTS LTD.|09-05-2019|7.6500
22859|ASIAN PAINTS LTD.|22-10-2019|3.3500
24685|AUROBINDO PHARMA LTD.|02-06-2004|2.2500
24685|AUROBINDO PHARMA LTD.|30-06-2005|0.5000
24685|AUROBINDO PHARMA LTD.|27-06-2006|1.5000
24685|AUROBINDO PHARMA LTD.|30-06-2007|2.5000
24685|AUROBINDO PHARMA LTD.|18-06-2008|3.2500
24685|AUROBINDO PHARMA LTD.|30-01-2009|3.0000
24685|AUROBINDO PHARMA LTD.|12-11-2009|1.5000
24685|AUROBINDO PHARMA LTD.|30-01-2010|3.0000
24685|AUROBINDO PHARMA LTD.|30-05-2010|2.0000
24685|AUROBINDO PHARMA LTD.|03-11-2010|5.0000
24685|AUROBINDO PHARMA LTD.|09-05-2011|1.0000
24685|AUROBINDO PHARMA LTD.|30-05-2012|1.0000
24685|AUROBINDO PHARMA LTD.|07-02-2013|1.0000
24685|AUROBINDO PHARMA LTD.|30-05-2013|0.5000
24685|AUROBINDO PHARMA LTD.|08-11-2013|1.2500
24685|AUROBINDO PHARMA LTD.|30-05-2014|1.7500
24685|AUROBINDO PHARMA LTD.|31-05-2014|0.0000
24685|AUROBINDO PHARMA LTD.|07-08-2014|1.5000
24685|AUROBINDO PHARMA LTD.|04-02-2015|2.0000
24685|AUROBINDO PHARMA LTD.|28-05-2015|1.0000
24685|AUROBINDO PHARMA LTD.|29-05-2015|0.0000
24685|AUROBINDO PHARMA LTD.|12-08-2015|0.5000
24685|AUROBINDO PHARMA LTD.|06-11-2015|0.6000
24685|AUROBINDO PHARMA LTD.|09-02-2016|0.7000
24685|AUROBINDO PHARMA LTD.|30-05-2016|0.7000
24685|AUROBINDO PHARMA LTD.|31-05-2016|0.0000
24685|AUROBINDO PHARMA LTD.|14-11-2016|1.2500
24685|AUROBINDO PHARMA LTD.|29-05-2017|1.2500
24685|AUROBINDO PHARMA LTD.|09-11-2017|1.5000
24685|AUROBINDO PHARMA LTD.|07-02-2018|1.0000
24685|AUROBINDO PHARMA LTD.|12-11-2018|1.2500
24685|AUROBINDO PHARMA LTD.|07-02-2019|1.2500
24685|AUROBINDO PHARMA LTD.|12-11-2019|1.2500
256066|AXIS BANK LTD.|29-04-2004|2.5000
256066|AXIS BANK LTD.|21-04-2005|2.8000
256066|AXIS BANK LTD.|17-04-2006|3.5000
256066|AXIS BANK LTD.|17-04-2007|4.5000
256066|AXIS BANK LTD.|21-04-2008|6.0000
256066|AXIS BANK LTD.|20-04-2009|10.0000
256066|AXIS BANK LTD.|20-04-2010|12.0000
256066|AXIS BANK LTD.|22-04-2011|14.0000
256066|AXIS BANK LTD.|27-04-2012|16.0000
256066|AXIS BANK LTD.|25-04-2013|18.0000
256066|AXIS BANK LTD.|25-04-2014|20.0000
256066|AXIS BANK LTD.|29-04-2015|4.6000
256066|AXIS BANK LTD.|26-04-2016|5.0000
256066|AXIS BANK LTD.|26-04-2017|5.0000
256066|AXIS BANK LTD.|26-04-2018|0.0000
256066|AXIS BANK LTD.|25-04-2019|1.0000
374518|BAJAJ AUTO LTD.|26-05-2008|20.0000
374518|BAJAJ AUTO LTD.|21-05-2009|22.0000
374518|BAJAJ AUTO LTD.|12-05-2010|40.0000
374518|BAJAJ AUTO LTD.|18-05-2011|40.0000
374518|BAJAJ AUTO LTD.|17-05-2012|45.0000
374518|BAJAJ AUTO LTD.|16-05-2013|45.0000
374518|BAJAJ AUTO LTD.|15-05-2014|50.0000
374518|BAJAJ AUTO LTD.|21-05-2015|50.0000
374518|BAJAJ AUTO LTD.|09-03-2016|50.0000
374518|BAJAJ AUTO LTD.|25-05-2016|5.0000
374518|BAJAJ AUTO LTD.|18-05-2017|55.0000
374518|BAJAJ AUTO LTD.|18-05-2018|60.0000
374518|BAJAJ AUTO LTD.|17-05-2019|60.0000
374519|BAJAJ FINSERV LTD.|26-05-2008|1.0000
374519|BAJAJ FINSERV LTD.|20-05-2009|1.0000
374519|BAJAJ FINSERV LTD.|11-05-2010|1.0000
374519|BAJAJ FINSERV LTD.|17-05-2011|1.2500
374519|BAJAJ FINSERV LTD.|16-05-2012|1.5000
374519|BAJAJ FINSERV LTD.|15-05-2013|1.5000
374519|BAJAJ FINSERV LTD.|14-05-2014|1.7500
374519|BAJAJ FINSERV LTD.|20-05-2015|1.7500
374519|BAJAJ FINSERV LTD.|09-03-2016|1.7500
374519|BAJAJ FINSERV LTD.|24-05-2016|0.0000
374519|BAJAJ FINSERV LTD.|17-05-2017|1.7500
374519|BAJAJ FINSERV LTD.|17-05-2018|1.7500
374519|BAJAJ FINSERV LTD.|16-05-2019|2.5000
28899|BAJAJ HOLDINGS & INVST. LTD.|19-05-2004|25.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|11-05-2005|25.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|19-05-2006|40.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|17-05-2007|40.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|22-05-2008|20.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|21-05-2009|10.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|12-05-2010|30.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|18-05-2011|35.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|17-05-2012|25.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|16-05-2013|25.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|15-05-2014|30.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|21-05-2015|32.5000
28899|BAJAJ HOLDINGS & INVST. LTD.|09-03-2016|25.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|25-05-2016|7.5000
28899|BAJAJ HOLDINGS & INVST. LTD.|18-05-2017|32.5000
28899|BAJAJ HOLDINGS & INVST. LTD.|18-05-2018|40.0000
28899|BAJAJ HOLDINGS & INVST. LTD.|17-05-2019|32.5000
28897|BAJAJ FINANCE LTD.|18-05-2004|6.0000
28897|BAJAJ FINANCE LTD.|10-05-2005|7.5000
28897|BAJAJ FINANCE LTD.|18-05-2006|4.0000
28897|BAJAJ FINANCE LTD.|16-05-2007|3.0000
28897|BAJAJ FINANCE LTD.|21-05-2008|1.0000
28897|BAJAJ FINANCE LTD.|20-05-2009|2.0000
28897|BAJAJ FINANCE LTD.|11-05-2010|6.0000
28897|BAJAJ FINANCE LTD.|17-05-2011|10.0000
28897|BAJAJ FINANCE LTD.|16-05-2012|12.0000
28897|BAJAJ FINANCE LTD.|15-05-2013|15.0000
28897|BAJAJ FINANCE LTD.|14-05-2014|16.0000
28897|BAJAJ FINANCE LTD.|20-05-2015|18.0000
28897|BAJAJ FINANCE LTD.|09-03-2016|18.0000
28897|BAJAJ FINANCE LTD.|24-05-2016|7.0000
28897|BAJAJ FINANCE LTD.|17-05-2017|3.6000
28897|BAJAJ FINANCE LTD.|17-05-2018|4.0000
28897|BAJAJ FINANCE LTD.|16-05-2019|6.0000
524457|BANDHAN BANK LTD.|27-04-2018|1.0000
524457|BANDHAN BANK LTD.|02-05-2019|3.0000
30136|BANK OF BARODA|17-05-2004|3.5000
30136|BANK OF BARODA|08-02-2005|1.8000
30136|BANK OF BARODA|20-05-2005|3.2000
30136|BANK OF BARODA|28-04-2006|5.0000
30136|BANK OF BARODA|19-03-2007|3.0000
30136|BANK OF BARODA|28-04-2007|3.0000
30136|BANK OF BARODA|20-05-2008|8.0000
30136|BANK OF BARODA|27-04-2009|9.0000
30136|BANK OF BARODA|28-04-2010|15.0000
30136|BANK OF BARODA|28-04-2011|16.5000
30136|BANK OF BARODA|04-05-2012|17.0000
30136|BANK OF BARODA|13-05-2013|21.5000
30136|BANK OF BARODA|15-01-2014|11.0000
30136|BANK OF BARODA|13-05-2014|10.5000
30136|BANK OF BARODA|11-05-2015|3.2000
30136|BANK OF BARODA|13-05-2016|0.0000
30136|BANK OF BARODA|18-05-2017|1.2000
32433|BERGER PAINTS INDIA LTD.|15-06-2004|3.0000
32433|BERGER PAINTS INDIA LTD.|28-12-2004|0.7000
32433|BERGER PAINTS INDIA LTD.|04-06-2005|0.7000
32433|BERGER PAINTS INDIA LTD.|08-11-2005|1.0000
32433|BERGER PAINTS INDIA LTD.|06-06-2006|1.0000
32433|BERGER PAINTS INDIA LTD.|08-02-2007|0.6000
32433|BERGER PAINTS INDIA LTD.|12-06-2007|0.4000
32433|BERGER PAINTS INDIA LTD.|06-06-2008|0.5000
32433|BERGER PAINTS INDIA LTD.|19-06-2009|0.6000
32433|BERGER PAINTS INDIA LTD.|18-06-2010|1.1000
32433|BERGER PAINTS INDIA LTD.|03-03-2011|0.5000
32433|BERGER PAINTS INDIA LTD.|30-05-2011|0.8000
32433|BERGER PAINTS INDIA LTD.|30-05-2012|1.4000
32433|BERGER PAINTS INDIA LTD.|30-05-2013|1.8000
32433|BERGER PAINTS INDIA LTD.|30-05-2014|2.2000
32433|BERGER PAINTS INDIA LTD.|30-01-2015|0.6000
32433|BERGER PAINTS INDIA LTD.|29-05-2015|0.6500
32433|BERGER PAINTS INDIA LTD.|04-02-2016|0.6500
32433|BERGER PAINTS INDIA LTD.|30-05-2016|1.0000
32433|BERGER PAINTS INDIA LTD.|30-05-2017|1.7500
32433|BERGER PAINTS INDIA LTD.|30-05-2018|1.8000
32433|BERGER PAINTS INDIA LTD.|30-05-2019|1.9000
34162|BHARTI AIRTEL LTD.|26-07-2004|0.0000
34162|BHARTI AIRTEL LTD.|17-08-2005|0.0000
34162|BHARTI AIRTEL LTD.|29-04-2009|1.0000
34162|BHARTI AIRTEL LTD.|28-04-2010|1.0000
34162|BHARTI AIRTEL LTD.|05-05-2011|1.0000
34162|BHARTI AIRTEL LTD.|02-05-2012|1.0000
34162|BHARTI AIRTEL LTD.|02-05-2013|1.0000
34162|BHARTI AIRTEL LTD.|29-04-2014|1.8000
34162|BHARTI AIRTEL LTD.|13-08-2014|1.6300
34162|BHARTI AIRTEL LTD.|28-04-2015|2.2200
34162|BHARTI AIRTEL LTD.|27-04-2016|1.3600
34162|BHARTI AIRTEL LTD.|09-05-2017|1.0000
34162|BHARTI AIRTEL LTD.|18-01-2018|2.8400
34162|BHARTI AIRTEL LTD.|24-04-2018|2.5000
34162|BHARTI AIRTEL LTD.|25-10-2018|2.5000
36073|BIOCON LTD.|14-05-2004|1.0000
36073|BIOCON LTD.|20-04-2005|2.0000
36073|BIOCON LTD.|20-04-2006|2.5000
36073|BIOCON LTD.|19-04-2007|3.0000
36073|BIOCON LTD.|22-04-2008|3.0000
36073|BIOCON LTD.|23-04-2008|2.0000
36073|BIOCON LTD.|28-04-2009|3.0000
36073|BIOCON LTD.|29-04-2010|3.5000
36073|BIOCON LTD.|28-04-2011|1.5000
36073|BIOCON LTD.|17-06-2011|3.0000
36073|BIOCON LTD.|27-04-2012|5.0000
36073|BIOCON LTD.|26-04-2013|2.5000
36073|BIOCON LTD.|27-04-2013|5.0000
36073|BIOCON LTD.|25-04-2014|5.0000
36073|BIOCON LTD.|27-03-2015|5.0000
36073|BIOCON LTD.|11-03-2016|5.0000
36073|BIOCON LTD.|27-04-2017|1.0000
36073|BIOCON LTD.|26-04-2018|1.0000
36073|BIOCON LTD.|25-04-2019|0.5000
149711|BOSCH LTD.|11-03-2004|65.0000
149711|BOSCH LTD.|01-03-2005|10.0000
149711|BOSCH LTD.|08-03-2006|12.0000
149711|BOSCH LTD.|12-03-2007|12.0000
149711|BOSCH LTD.|15-03-2007|4.0000
149711|BOSCH LTD.|06-03-2008|25.0000
149711|BOSCH LTD.|04-03-2009|25.0000
149711|BOSCH LTD.|05-03-2010|30.0000
149711|BOSCH LTD.|28-02-2011|40.0000
149711|BOSCH LTD.|01-06-2011|85.0000
149711|BOSCH LTD.|28-02-2012|50.0000
149711|BOSCH LTD.|27-02-2013|60.0000
149711|BOSCH LTD.|27-02-2014|55.0000
149711|BOSCH LTD.|29-05-2015|85.0000
149711|BOSCH LTD.|25-05-2016|85.0000
149711|BOSCH LTD.|10-02-2017|75.0000
149711|BOSCH LTD.|25-05-2017|90.0000
149711|BOSCH LTD.|22-05-2018|100.0000
149711|BOSCH LTD.|21-05-2019|105.0000
33873|BHARAT PETROLEUM CORPN. LTD.|19-05-2004|11.5000
33873|BHARAT PETROLEUM CORPN. LTD.|10-12-2004|5.0000
33873|BHARAT PETROLEUM CORPN. LTD.|19-05-2005|7.5000
33873|BHARAT PETROLEUM CORPN. LTD.|30-06-2005|0.0000
33873|BHARAT PETROLEUM CORPN. LTD.|26-09-2006|2.5000
33873|BHARAT PETROLEUM CORPN. LTD.|26-12-2006|6.0000
33873|BHARAT PETROLEUM CORPN. LTD.|24-05-2007|10.0000
33873|BHARAT PETROLEUM CORPN. LTD.|17-06-2008|4.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2009|7.0000
33873|BHARAT PETROLEUM CORPN. LTD.|27-05-2010|14.0000
33873|BHARAT PETROLEUM CORPN. LTD.|30-05-2011|14.0000
33873|BHARAT PETROLEUM CORPN. LTD.|25-05-2012|11.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2013|11.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2014|17.0000
33873|BHARAT PETROLEUM CORPN. LTD.|28-05-2015|22.5000
33873|BHARAT PETROLEUM CORPN. LTD.|20-01-2016|12.5000
33873|BHARAT PETROLEUM CORPN. LTD.|12-02-2016|3.5000
33873|BHARAT PETROLEUM CORPN. LTD.|26-05-2016|15.0000
33873|BHARAT PETROLEUM CORPN. LTD.|09-02-2017|15.5000
33873|BHARAT PETROLEUM CORPN. LTD.|10-02-2017|4.0000
33873|BHARAT PETROLEUM CORPN. LTD.|23-03-2017|12.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2017|1.0000
33873|BHARAT PETROLEUM CORPN. LTD.|09-02-2018|14.0000
33873|BHARAT PETROLEUM CORPN. LTD.|29-05-2018|7.0000
33873|BHARAT PETROLEUM CORPN. LTD.|08-02-2019|11.0000
33873|BHARAT PETROLEUM CORPN. LTD.|20-05-2019|8.0000
38924|BRITANNIA INDUSTRIES LTD.|29-06-2004|11.0000
38924|BRITANNIA INDUSTRIES LTD.|26-05-2005|14.0000
38924|BRITANNIA INDUSTRIES LTD.|31-05-2006|15.0000
38924|BRITANNIA INDUSTRIES LTD.|29-05-2007|15.0000
38924|BRITANNIA INDUSTRIES LTD.|29-05-2008|18.0000
38924|BRITANNIA INDUSTRIES LTD.|27-05-2009|40.0000
38924|BRITANNIA INDUSTRIES LTD.|28-05-2009|0.0000
38924|BRITANNIA INDUSTRIES LTD.|27-05-2010|25.0000
38924|BRITANNIA INDUSTRIES LTD.|27-05-2011|6.5000
38924|BRITANNIA INDUSTRIES LTD.|28-05-2012|8.5000
38924|BRITANNIA INDUSTRIES LTD.|24-05-2013|8.5000
38924|BRITANNIA INDUSTRIES LTD.|27-05-2014|12.0000
38924|BRITANNIA INDUSTRIES LTD.|21-05-2015|16.0000
38924|BRITANNIA INDUSTRIES LTD.|20-05-2016|20.0000
38924|BRITANNIA INDUSTRIES LTD.|25-05-2017|22.0000
38924|BRITANNIA INDUSTRIES LTD.|15-05-2018|25.0000
38924|BRITANNIA INDUSTRIES LTD.|01-05-2019|15.0000
41246|CADILA HEALTHCARE LTD.|26-04-2004|6.0000
41246|CADILA HEALTHCARE LTD.|29-04-2005|6.0000
41246|CADILA HEALTHCARE LTD.|28-04-2006|6.0000
41246|CADILA HEALTHCARE LTD.|26-04-2007|4.0000
41246|CADILA HEALTHCARE LTD.|29-04-2008|4.5000
41246|CADILA HEALTHCARE LTD.|28-04-2009|4.5000
41246|CADILA HEALTHCARE LTD.|29-04-2010|5.0000
41246|CADILA HEALTHCARE LTD.|06-05-2011|6.2500
41246|CADILA HEALTHCARE LTD.|10-05-2012|7.5000
41246|CADILA HEALTHCARE LTD.|30-05-2013|7.5000
41246|CADILA HEALTHCARE LTD.|16-05-2014|9.0000
41246|CADILA HEALTHCARE LTD.|15-05-2015|12.0000
41246|CADILA HEALTHCARE LTD.|08-03-2016|3.2000
41246|CADILA HEALTHCARE LTD.|13-05-2016|0.0000
41246|CADILA HEALTHCARE LTD.|07-03-2017|3.2000
41246|CADILA HEALTHCARE LTD.|27-05-2017|0.0000
41246|CADILA HEALTHCARE LTD.|25-05-2018|3.5000
41246|CADILA HEALTHCARE LTD.|29-05-2019|3.5000
47858|CIPLA LTD.|26-07-2004|3.0000
47858|CIPLA LTD.|29-07-2005|3.5000
47858|CIPLA LTD.|21-07-2006|2.0000
47858|CIPLA LTD.|20-07-2007|2.0000
47858|CIPLA LTD.|18-07-2008|2.0000
47858|CIPLA LTD.|15-07-2009|2.0000
47858|CIPLA LTD.|15-06-2010|2.0000
47858|CIPLA LTD.|25-08-2010|0.8000
47858|CIPLA LTD.|29-06-2011|2.0000
47858|CIPLA LTD.|07-06-2012|2.0000
47858|CIPLA LTD.|29-05-2013|2.0000
47858|CIPLA LTD.|29-05-2014|2.0000
47858|CIPLA LTD.|29-05-2015|2.0000
47858|CIPLA LTD.|24-05-2016|2.0000
47858|CIPLA LTD.|25-05-2017|2.0000
47858|CIPLA LTD.|22-05-2018|3.0000
47858|CIPLA LTD.|22-05-2019|3.0000
48799|COAL INDIA LTD.|25-09-2004|16.0000
48799|COAL INDIA LTD.|30-08-2005|43.0000
48799|COAL INDIA LTD.|31-03-2006|200.0000
48799|COAL INDIA LTD.|31-03-2007|237.5000
48799|COAL INDIA LTD.|31-03-2008|270.0000
48799|COAL INDIA LTD.|31-03-2009|270.0000
48799|COAL INDIA LTD.|31-03-2010|3.5000
48799|COAL INDIA LTD.|14-02-2011|3.5000
48799|COAL INDIA LTD.|12-05-2011|0.4000
48799|COAL INDIA LTD.|12-03-2012|9.5000
48799|COAL INDIA LTD.|18-05-2012|0.5000
48799|COAL INDIA LTD.|14-03-2013|9.7000
48799|COAL INDIA LTD.|20-05-2013|4.3000
48799|COAL INDIA LTD.|14-01-2014|29.0000
48799|COAL INDIA LTD.|27-02-2015|20.7000
48799|COAL INDIA LTD.|05-03-2016|27.4000
48799|COAL INDIA LTD.|06-03-2017|18.7500
48799|COAL INDIA LTD.|26-03-2017|1.1500
48799|COAL INDIA LTD.|29-05-2017|0.0000
48799|COAL INDIA LTD.|10-03-2018|16.5000
48799|COAL INDIA LTD.|20-12-2018|7.2500
48799|COAL INDIA LTD.|14-03-2019|5.8500
49138|COLGATE-PALMOLIVE (INDIA) LTD.|31-03-2004|1.2500
49138|COLGATE-PALMOLIVE (INDIA) LTD.|29-06-2004|0.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|30-06-2004|1.5000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|01-12-2004|4.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|25-04-2005|1.5000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|30-05-2005|0.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|05-08-2005|2.7500
49138|COLGATE-PALMOLIVE (INDIA) LTD.|01-12-2005|3.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|07-03-2006|1.7500
49138|COLGATE-PALMOLIVE (INDIA) LTD.|31-10-2006|4.2500
49138|COLGATE-PALMOLIVE (INDIA) LTD.|09-03-2007|3.2500
49138|COLGATE-PALMOLIVE (INDIA) LTD.|03-05-2007|2.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|26-11-2007|6.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|30-05-2008|7.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|05-12-2008|9.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|30-03-2009|6.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|13-08-2009|8.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|04-12-2009|7.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|29-03-2010|5.0000
49138|COLGATE-PALMOLIVE (INDIA) LTD.|12-08-2010|10.0000
